School Building Code,School Name,School Type,Address,City,State,Zip,District Name,County,Grade Levels,Number of K-12 (All Grades) Students Enrolled ,Number of K-12 (All Grades) Students Complete,Number of K-12 (All Grades) Students with any Exemption,Number of K-12 (All Grades) Students with Medical Exemption,Number of K-12 (All Grades) Students with Personal Exemption,Number of K-12 (All Grades) Students with Religious Exemption,Number of K-12 (All Grades) Students with Religious Membership Exemption,Number of K-12 (All Grades) Students Exempt for Diphtheria Tetanus,Number of K-12 (All Grades) Students Exempt for Pertussis,Number of K-12 (All Grades) Students Exempt for Polio,Number of K-12 (All Grades) Students Exempt for MMR,Number of K-12 (All Grades) Students Exempt for Hep B,Number of K-12 (All Grades) Students Exempt for Varicella
4417,Ilalko Elementary School,Public School,301 ORAVETZ PL SE,Auburn,WA,98092,Auburn School District,KING,PK-5,584,511,18,5,13,0,0,12,12,13,15,11,15
4120,Lake View Elementary School,Public School,16401 SE 318TH ST,Auburn,WA,98092,Auburn School District,KING,PK-5,354,284,20,3,16,1,0,12,12,15,13,10,18
5051,Lakeland Hills Elementary,Public School,1020 Evergreen Way SE,Auburn,WA,98092,Auburn School District,KING,K -5,708,661,33,8,21,5,0,19,19,18,21,18,20
3525,Lea Hill Elementary School,Public School,30908 124TH AVE SE,Auburn,WA,98092,Auburn School District,KING,PK-5,395,352,22,9,10,3,0,17,17,17,17,18,21
4462,Mt Baker Middle School,Public School,620 37TH ST SE,Auburn,WA,98002,Auburn School District,KING,6-8,950,849,26,6,21,1,0,17,17,15,13,12,4
3169,Olympic Middle School,Public School,1825 K ST SE,Auburn,WA,98002,Auburn School District,KING,6-8,698,648,13,2,10,1,1,8,6,6,6,7,2
3227,Pioneer Elementary School,Public School,2301 M ST SE,Auburn,WA,98002,Auburn School District,KING,PK-5,469,434,9,2,5,2,0,6,6,5,5,5,6
4385,Rainier Middle School,Public School,30620 116TH AVE SE,Auburn,WA,98092,Auburn School District,KING,6-8,879,777,27,8,20,0,0,17,16,10,12,14,1
2659,Terminal Park Elementary School,Public School,1101 D ST SE,Auburn,WA,98002,Auburn School District,KING,K -5,431,398,12,1,10,1,0,7,7,7,7,6,9
5082,Arthur Jacobsen Elementary,Public School,29205 132nd Ave SE,Auburn,WA,98092,Auburn School District,KING,K -5,,,,,,,,,,,,,
2326,Washington Elementary School,Public School,20 E ST NE,Auburn,WA,98002,Auburn School District,KING,PK-5,,,,,,,,,,,,,
5037,Auburn Mountainview High School,Public School,28900 124th AVE SE,Auburn,WA,98092,Auburn School District,KING,9-12,1542,1431,71,11,55,5,0,40,33,32,41,39,0
8968,Hyla Middle School,Private School,7861 Bucklin Hill Rd NE,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,6-8,83,77,10,1,8,1,77,4,5,5,5,7,4
801K,Montessori Country School - Children's House,Private School,10994 ARROW POINT DR,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,K-1,18,15,3,0,3,0,0,3,3,3,3,3,3
OICP22,Montessori Country School - Elementary Campus,Private School,8225 HIGH SCHOOL ROAD,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,P-1,32,26,6,3,3,0,0,2,0,4,5,6,5
8624,St. Cecilia Catholic School,Private School,1310 Madison Ave,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,P-8,81,69,8,0,8,0,0,8,8,8,8,8,8
8487,The Island School,Private School,8553 NE Day Rd,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,K-5,81,70,11,0,11,0,0,5,5,9,8,9,6
8927,Carden Country School,Private School,6974 Island Center Rd NE,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,K-12,,,,,,,,,,,,,
800P,Madrona School,Private School,219 Madison Ave N,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,P-8,,,,,,,,,,,,,
8121,Voyager Montessori,Private School,8225 High School Rd,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,1-6,,,,,,,,,,,,,
3552,Capt Johnston Blakely Elem Sch,Public School,4704 Blakely Ave NE,Bainbridge Island,WA,98110,Bainbridge Island School District,KITSAP,K -4,381,340,39,9,29,0,1,12,13,17,14,17,24
