School Code	School Name	School Type	School District	County	Reported?	Data Source	Grade Levels	K-12 Number Enrolled	K-12 Number Complete	K-12 Number Exempt	K-12 Number Exempt: Medical	K-12 Number Exempt: Personal	K-12 Number Exempt: Religious	K-12 Number Exempt: Religious Member	K-12 Number Exempt: D/T	K-12 Number Exempt: Pertussis	K-12 Number Exempt: Polio	K-12 Number Exempt: MMR	K-12 Number Exempt: Hep B	K-12 Number Exempt: Varicella
2305	Miller Junior High	Public	Aberdeen School District	GRAYS HARBOR	Yes	Paper	7-8	473	447	12	0	10	2	0	11	11	6	10	6	10
2110	Sheridan Elementary	Public	Spokane School District	SPOKANE	Yes	XLS Spokane	PK-6	473	362	18	0	14	5	0	12	12	12	12	9	18
2872	Browns Point Elementary School	Public	Tacoma School District	PIERCE	Yes	XLSCSV	K -5	473	433	22	3	17	2	0	16	8	18	20	15	21
3679	Shelton View Elementary	Public	Northshore School District	KING	Yes	XLSCSV	K -6	473	438	33	2	31	0	0	11	11	11	12	22	26
3026	Wedgwood Elementary School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K -5	473	441	20	5	15	0	0	12	12	12	12	17	15
3160	Star Lake Elementary School	Public	Federal Way School District	KING	Yes	IIS	PK-5	474	456	14	2	10	2	0	11	11	9	11	9	13
4527	Pinecrest Elementary	Public	Central Kitsap School District	KITSAP	Yes	IIS	PK-6	474	463	5	3	2	0	0	2	2	2	2	2	2
3477	Broadview Elementary	Public	Oak Harbor School District	ISLAND	Yes	Paper	K -5	474	433	34	3	31	0	0	21	21	20	20	18	19
3104	Echo Lake Elementary School	Public	Shoreline School District	KING	Yes	XLSCSV	K -6	474	438	35	3	32	0	0	19	19	24	22	25	28
3478	Kimball Elementary School	Public	Seattle Public Schools	KING	Yes	XLSCSVSea	K -5	474	403	16	2	14	0	0	9	9	8	10	13	25
2026	Poulsbo Elementary School	Public	North Kitsap School District	KITSAP	Yes	XLSCSV	PK-5	475	418	40	5	34	1	0	20	21	18	19	22	30
2652	Lakeview Elementary	Public	Clover Park School District	PIERCE	Yes	XLSCSV	PK-5	475	471	1	0	1	0	0	0	0	0	1	0	0
2829	Mill Plain Elementary School	Public	Evergreen School District (Clark)	CLARK	Yes	IIS	K -5	476	370	44	4	35	7	0	40	40	38	43	35	43
2159	Prospect Point Elementary	Public	Walla Walla Public Schools	WALLA WALLA	Yes	Paper	K -5	476	456	17	0	17	0	0	11	11	11	12	13	15
3719	Logan Elementary	Public	Spokane School District	SPOKANE	Yes	XLS Spokane	PK-6	477	433	24	6	14	6	0	14	14	14	15	14	18
3002	View Ridge Elementary	Public	Everett School District	SNOHOMISH	Yes	IIS	PK-5	478	414	47	0	46	1	0	28	28	29	30	28	39
8573	Northwest School	Private	Seattle Public Schools	KING	Yes	IIS	6-12	478	422	31	1	29	1	0	8	1	16	18	22	5
2073	Machias Elementary	Public	Snohomish School District	SNOHOMISH	Yes	Paper	K -6	478	415	60	9	52	1	0	35	35	26	33	27	47
3077	Hawthorne Elementary School	Public	Kennewick School District	BENTON	Yes	IIS	K -5	479	451	11	0	11	0	0	3	3	3	3	7	8
3312	Whitney Elementary	Public	Yakima School District	YAKIMA	Yes	IIS	K -5	479	351	10	2	8	0	0	7	7	8	6	7	8
8141	St. Charles Borromeo School	Private	Tacoma School District	PIERCE	Yes	IIS	P-8	479	451	16	0	16	0	0	10	10	9	10	11	12
2379	Edison Elementary	Public	Burlington-Edison School District	SKAGIT	Yes	Paper	K -8	479	422	47	3	44	0	0	28	24	26	33	24	24
3209	Abraham Lincoln Elementary	Public	Wenatchee School District	CHELAN	Yes	IIS	K -5	480	463	13	1	11	1	0	12	12	12	13	11	13
4136	Sunset View Elementary School	Public	Kennewick School District	BENTON	Yes	Paper	K -5	480	465	16	4	12	0	0	15	15	13	14	11	15
8069	St. John School	Private	Seattle Public Schools	KING	Yes	Paper	P-8	480	430	42	0	26	0	0	6	6	8	20	15	35
2955	Otis Orchards Elementary	Public	East Valley School District (Spokane)	SPOKANE	Yes	XLSCSV	PK-7	480	433	38	14	25	0	0	16	16	17	21	21	24
3321	South Ridge Elementary	Public	Ridgefield School District	CLARK	Yes	IIS	K -6	481	429	49	10	39	2	0	42	41	38	46	40	58
4471	Mountain Meadow Elementary	Public	White River School District	PIERCE	Yes	IIS	PK-5	481	442	37	17	19	1	0	22	22	25	29	21	28
